Fleet No,Asset ID,Category,Description,Plate Number,Benchmark_KmL
PV-001,PV-001-ML3907,Vehicle,COROLA,ML 3907,8.0
PV-002,PV-002-YR979,Vehicle,PRADO - TOYOTA,YR 979,8.0
PV-003,PV-003-W56388,Vehicle,AVALON ,W 56388,8.0
PV-004,PV-004-D42061,Vehicle,ORION - SALON - OBAID ABOOD,D 42061,8.0
PV-005,PV-005-H35605,Vehicle,PICK UP SINGLE - MUBARAK ABOOD,H 35605,8.0
PV-006,PV-006-AA84315,Vehicle,RAV 4 - GHASAN SALEH SAID,AA 84315,8.0
PV-007,PV-007-M41127,Vehicle,RAV 4 - SALEH SAID SUHAIL,M 41127,8.0
PV-008,PV-008-YY6286,Vehicle,PICK UP (GARAGE) - SUHAIL SALEH,YY 6286,8.0
PV-009,PV-009-AW46785,Vehicle,RAV 4 - MOHAMMED ABOOD,AW 46785,8.0
PV-010,PV-010-AA38985,Vehicle,TOYOTA LC (HAMED MUBARAK),AA 38985,8.0
PV-011,PV-011-Y43795,Vehicle,RAV 4 - SAID ABOUD,Y 43795,8.0
HSC-001,HSC-001-HM1386,Equipment,CAT FORK LIFT ,HM 1386,2.5
HSC-002,HSC-002-YB5278,Equipment,BRAKISH WATER TANK,YB 5278,2.5
HSC-003,HSC-003-DK5654,Equipment,JCB ,DK 5654,2.5
HSC-004,HSC-004-BK9892,Equipment,BRAKISH WATER BOWSER,BK 9892,2.5
HSC-006,HSC-006-BA4820,Equipment,BRAKISH WATER BOWSER,BA 4820,2.5
HSC-007,HSC-007-YM977,Equipment,JCB ,YM 977,2.5
HSC-008,HSC-008-YD934,Equipment,BRAKISH WATER TANK,YD 934,2.5
HSC-012,HSC-012-ML2013,Equipment,DOZER - CATERPILLER,ML 2013,2.5
HSC-013,HSC-013-YR5281,Equipment,BRAKISH WATER TANK,YR 5281,2.5
HSC-015,HSC-015-YW9016,Equipment,BRAKISH WATER BOWSER,YW 9016,2.5
HSC-016,HSC-016-YD5558,Equipment,BRACKISH WAER TANK,YD 5558,2.5
HSC-017,HSC-017-HA499,Equipment,LOWBED TRAILOR,HA 499,2.5
HSC-019,HSC-019-MR741,Equipment,PRIME MOVER - MAN,MR 741,2.5
HSC-022,HSC-022-MR2588,Equipment,BRAKISH WATER TANK,MR 2588,2.5
HSC-023,HSC-023-WB1976,Equipment,WATER BOWSER,WB 1976,2.5
HSC-030,HSC-030-BM8829,Equipment,FLAT BED TRAILOR,BM 8829,2.5
HSC-037,HSC-037-DS9271,Vehicle,TOYOTA LC / ST,DS 9271,8.0
